file,import
project-falcon-main/src/lib/api/reviews.ts,@/lib/supabaseClient
project-falcon-main/src/lib/api/reviews.ts,@/lib/logactivity
project-falcon-main/src/lib/api/users.ts,@/lib/supabaseClient
project-falcon-main/src/lib/hooks/ProtectedRoute.jsx,react
project-falcon-main/src/lib/hooks/ProtectedRoute.jsx,react-router-dom
project-falcon-main/src/lib/hooks/ProtectedRoute.jsx,@/lib/supabaseClient
project-falcon-main/src/lib/hooks/ProtectedRoute.jsx,@/lib/hooks/useRole
project-falcon-main/src/lib/hooks/useEditableForm.js,react
project-falcon-main/src/lib/hooks/useIsAdmin.js,react
project-falcon-main/src/lib/hooks/useIsAdmin.js,@/lib/supabaseClient
project-falcon-main/src/lib/hooks/useOrderEvents.js,react
project-falcon-main/src/lib/hooks/useOrderEvents.js,@/lib/utils/mapOrderToEvents
project-falcon-main/src/lib/hooks/useOrderEvents.js,@/lib/utils/colorForId
project-falcon-main/src/lib/hooks/useOrderForm.js,react
project-falcon-main/src/lib/hooks/useOrderForm.js,@/lib/supabaseClient
project-falcon-main/src/lib/hooks/useOrderForm.js,@/lib/utils/logOrderEvent
project-falcon-main/src/lib/hooks/useOrderForm.js,@supabase/auth-helpers-react
project-falcon-main/src/lib/hooks/useOrders.js,react
project-falcon-main/src/lib/hooks/useOrders.js,@/lib/supabaseClient
project-falcon-main/src/lib/hooks/useOrders.js,@/lib/hooks/useSession
project-falcon-main/src/lib/hooks/useRole.js,react
project-falcon-main/src/lib/hooks/useRole.js,@/lib/supabaseClient
project-falcon-main/src/lib/hooks/useSession.js,@/context/UserContext
project-falcon-main/src/lib/services/ordersService.js,@/lib/supabaseClient
project-falcon-main/src/lib/services/ordersService.js,@/lib/utils/logOrderEvent
project-falcon-main/src/lib/utils/autoUpdateOrderStatus.js,@/lib/supabaseClient
project-falcon-main/src/lib/utils/logOrderEvent.js,@/lib/supabaseClient
project-falcon-main/src/lib/utils/rpcFirst.js,@/lib/supabaseClient
project-falcon-main/src/lib/utils/updateOrderStatus.js,@/lib/utils/rpcFirst
project-falcon-main/src/lib/utils/updateOrderStatus.js,@/lib/supabaseClient
project-falcon-main/src/lib/utils/updateOrderStatus.js,@/lib/utils/logOrderEvent
project-falcon-main/src/pages/AdminDashboard.jsx,react
project-falcon-main/src/pages/AdminDashboard.jsx,react-router-dom
project-falcon-main/src/pages/AdminDashboard.jsx,@/lib/hooks/useOrders
project-falcon-main/src/pages/AdminDashboard.jsx,@/components/DashboardCalendar
project-falcon-main/src/pages/AdminDashboard.jsx,@/components/orders/OrdersTable
project-falcon-main/src/pages/AdminDashboard.jsx,@/components/admin/AdminCalendar
project-falcon-main/src/pages/AdminUsers.jsx,react
project-falcon-main/src/pages/AdminUsers.jsx,react-router-dom
project-falcon-main/src/pages/AdminUsers.jsx,@/lib/supabaseClient
project-falcon-main/src/pages/AppraiserDashboard.jsx,react
project-falcon-main/src/pages/AppraiserDashboard.jsx,@/lib/hooks/useOrders
project-falcon-main/src/pages/AppraiserDashboard.jsx,@/lib/hooks/useSession
project-falcon-main/src/pages/AppraiserDashboard.jsx,@/components/orders/OrdersTable
project-falcon-main/src/pages/Calendar.jsx,react
project-falcon-main/src/pages/Calendar.jsx,react-router-dom
project-falcon-main/src/pages/Calendar.jsx,@/lib/supabaseClient
project-falcon-main/src/pages/Calendar.jsx,@/lib/hooks/useSession
project-falcon-main/src/pages/Calendar.jsx,@/lib/hooks/useOrderEvents
project-falcon-main/src/pages/Calendar.jsx,@/components/ui/FullCalendarWrapper
project-falcon-main/src/pages/Calendar.jsx,@/data/usHolidays2025.json
project-falcon-main/src/pages/ClientDetail.jsx,react
project-falcon-main/src/pages/ClientDetail.jsx,react-router-dom
project-falcon-main/src/pages/ClientDetail.jsx,../lib/supabaseClient
project-falcon-main/src/pages/ClientDetail.jsx,../components/ContactForm
project-falcon-main/src/pages/ClientsDashboard.jsx,react
project-falcon-main/src/pages/ClientsDashboard.jsx,@/lib/supabaseClient
project-falcon-main/src/pages/ClientsDashboard.jsx,@/components/clients/ClientCard
project-falcon-main/src/pages/ClientsDashboard.jsx,@/components/clients/ClientFilters
project-falcon-main/src/pages/ClientsDashboard.jsx,react-router-dom
project-falcon-main/src/pages/Dashboard.jsx,react
project-falcon-main/src/pages/Dashboard.jsx,@/lib/hooks/useSession
project-falcon-main/src/pages/Dashboard.jsx,@/components/admin/AdminCalendar
project-falcon-main/src/pages/Dashboard.jsx,@/components/orders/OrdersListAll
project-falcon-main/src/pages/Dashboard.jsx,@/components/orders/MyOrdersCard
project-falcon-main/src/pages/EditClient.jsx,react
project-falcon-main/src/pages/EditClient.jsx,react-router-dom
project-falcon-main/src/pages/EditClient.jsx,../lib/supabaseClient
project-falcon-main/src/pages/EditClient.jsx,../components/forms/ClientForm
project-falcon-main/src/pages/EditUser.jsx,react
project-falcon-main/src/pages/EditUser.jsx,react-router-dom
project-falcon-main/src/pages/EditUser.jsx,@/lib/supabaseClient
project-falcon-main/src/pages/EditUser.jsx,@/lib/hooks/useSession
project-falcon-main/src/pages/Login.jsx,react
project-falcon-main/src/pages/Login.jsx,react-router-dom
project-falcon-main/src/pages/Login.jsx,@supabase/auth-ui-react
project-falcon-main/src/pages/Login.jsx,@supabase/auth-ui-shared
